Spacecraft: DefaultSC

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
16 Apr 2000 19:06:20.349    16 Apr 2000 19:10:19.768      239.41858954    Mars            Penumbra    1             239.41858954
17 Apr 2000 19:35:40.517    17 Apr 2000 19:53:06.099      1045.5821679    Mars            Penumbra    2             1045.5821679
18 Apr 2000 20:08:23.536    18 Apr 2000 20:14:58.947      395.41160407    Mars            Penumbra    3             1451.2814415
18 Apr 2000 20:14:58.947    18 Apr 2000 20:25:59.412      660.46442392    Mars            Umbra       3             1451.2814415
18 Apr 2000 20:25:59.412    18 Apr 2000 20:32:34.817      395.40541351    Mars            Penumbra    3             1451.2814415
19 Apr 2000 20:41:58.343    19 Apr 2000 20:46:40.510      282.16698660    Mars            Penumbra    4             1759.5822031
19 Apr 2000 20:46:40.510    19 Apr 2000 21:06:35.764      1195.2543224    Mars            Umbra       4             1759.5822031
19 Apr 2000 21:06:35.764    19 Apr 2000 21:11:17.925      282.16089411    Mars            Penumbra    4             1759.5822031
20 Apr 2000 21:16:02.811    20 Apr 2000 21:19:56.394      233.58320296    Mars            Penumbra    5             2015.6542123
20 Apr 2000 21:19:56.394    20 Apr 2000 21:45:44.888      1548.4937996    Mars            Umbra       5             2015.6542123
20 Apr 2000 21:45:44.888    20 Apr 2000 21:49:38.465      233.57720979    Mars            Penumbra    5             2015.6542123
21 Apr 2000 21:50:28.429    21 Apr 2000 21:53:52.881      204.45178722    Mars            Penumbra    6             2237.4777234
21 Apr 2000 21:53:52.881    21 Apr 2000 22:24:21.461      1828.5800523    Mars            Umbra       6             2237.4777234
21 Apr 2000 22:24:21.461    21 Apr 2000 22:27:45.907      204.44588395    Mars            Penumbra    6             2237.4777234
22 Apr 2000 22:25:10.889    22 Apr 2000 22:28:15.365      184.47596077    Mars            Penumbra    7             2434.4138459
22 Apr 2000 22:28:15.365    22 Apr 2000 23:02:40.833      2065.4677258    Mars            Umbra       7             2434.4138459
22 Apr 2000 23:02:40.833    22 Apr 2000 23:05:45.303      184.47015934    Mars            Penumbra    7             2434.4138459
23 Apr 2000 23:00:07.833    23 Apr 2000 23:02:57.533      169.70054742    Mars            Penumbra    8             2612.0789828
23 Apr 2000 23:02:57.533    23 Apr 2000 23:40:50.217      2272.6835879    Mars            Umbra       8             2612.0789828
23 Apr 2000 23:40:50.217    23 Apr 2000 23:43:39.912      169.69484752    Mars            Penumbra    8             2612.0789828
24 Apr 2000 23:35:17.813    24 Apr 2000 23:37:56.034      158.22073391    Mars            Penumbra    9             2774.1622128
24 Apr 2000 23:37:56.034    25 Apr 2000 00:18:53.760      2457.7263459    Mars            Umbra       9             2774.1622128
25 Apr 2000 00:18:53.760    25 Apr 2000 00:21:31.975      158.21513302    Mars            Penumbra    9             2774.1622128
26 Apr 2000 00:10:39.919    26 Apr 2000 00:13:08.907      148.98742834    Mars            Penumbra    10            2923.2421610
26 Apr 2000 00:13:08.907    26 Apr 2000 00:56:54.180      2625.2728037    Mars            Umbra       10            2923.2421610
26 Apr 2000 00:56:54.180    26 Apr 2000 00:59:23.162      148.98192898    Mars            Penumbra    10            2923.2421610
27 Apr 2000 00:46:13.589    27 Apr 2000 00:48:34.957      141.36822335    Mars            Penumbra    11            3061.2052111
27 Apr 2000 00:48:34.957    27 Apr 2000 01:34:53.431      2778.4741579    Mars            Umbra       11            3061.2052111
27 Apr 2000 01:34:53.431    27 Apr 2000 01:37:14.794      141.36282991    Mars            Penumbra    11            3061.2052111
28 Apr 2000 01:21:58.429    28 Apr 2000 01:24:13.384      134.95501917    Mars            Penumbra    12            3189.4862302
28 Apr 2000 01:24:13.384    28 Apr 2000 02:12:52.966      2919.5814816    Mars            Umbra       12            3189.4862302
28 Apr 2000 02:12:52.966    28 Apr 2000 02:15:07.916      134.94972945    Mars            Penumbra    12            3189.4862302
29 Apr 2000 01:57:54.226    29 Apr 2000 02:00:03.698      129.47213048    Mars            Penumbra    13            3309.1992524
29 Apr 2000 02:00:03.698    29 Apr 2000 02:50:53.958      3050.2601805    Mars            Umbra       13            3309.1992524
29 Apr 2000 02:50:53.958    29 Apr 2000 02:53:03.425      129.46694135    Mars            Penumbra    13            3309.1992524
30 Apr 2000 02:34:00.845    30 Apr 2000 02:36:05.570      124.72498891    Mars            Penumbra    14            3421.2348154
30 Apr 2000 02:36:05.570    30 Apr 2000 03:28:57.360      3171.7899277    Mars            Umbra       14            3421.2348154
30 Apr 2000 03:28:57.360    30 Apr 2000 03:31:02.080      124.71989879    Mars            Penumbra    14            3421.2348154
01 May 2000 03:10:18.213    01 May 2000 03:12:18.785      120.57203605    Mars            Penumbra    15            3526.3166632
01 May 2000 03:12:18.785    01 May 2000 04:07:03.962      3285.1775797    Mars            Umbra       15            3526.3166632
01 May 2000 04:07:03.962    01 May 2000 04:09:04.529      120.56704746    Mars            Penumbra    15            3526.3166632
02 May 2000 03:46:46.305    02 May 2000 03:48:43.212      116.90751786    Mars            Penumbra    16            3625.0423108
02 May 2000 03:48:43.212    02 May 2000 04:45:14.445      3391.2321596    Mars            Umbra       16            3625.0423108
02 May 2000 04:45:14.445    02 May 2000 04:47:11.347      116.90263330    Mars            Penumbra    16            3625.0423108
03 May 2000 04:23:25.134    03 May 2000 04:25:18.784      113.65042428    Mars            Penumbra    17            3717.9119759
03 May 2000 04:25:18.784    03 May 2000 05:23:29.400      3490.6159009    Mars            Umbra       17            3717.9119759
03 May 2000 05:23:29.400    03 May 2000 05:25:23.046      113.64565068    Mars            Penumbra    17            3717.9119759
04 May 2000 05:00:14.712    04 May 2000 05:02:05.450      110.73801331    Mars            Penumbra    18            3805.3490340
04 May 2000 05:02:05.450    04 May 2000 06:01:49.328      3583.8776817    Mars            Umbra       18            3805.3490340
